num_date_time,answer
1_20220825 00,2014.85498046875
1_20220825 01,2114.50244140625
1_20220825 02,1948.44873046875
1_20220825 03,1958.8511962890625
1_20220825 04,1964.0712890625
1_20220825 05,2045.485595703125
1_20220825 06,2408.783935546875
1_20220825 07,2512.44482421875
1_20220825 08,2838.231201171875
1_20220825 09,3206.048095703125
1_20220825 10,3660.043701171875
1_20220825 11,3818.128173828125
1_20220825 12,3878.35595703125
1_20220825 13,4216.67529296875
1_20220825 14,4222.35205078125
1_20220825 15,3651.72314453125
1_20220825 16,3580.43505859375
1_20220825 17,3047.212890625
1_20220825 18,2451.328125
1_20220825 19,2230.55859375
1_20220825 20,2130.44091796875
1_20220825 21,2026.859375
1_20220825 22,1579.3682861328125
1_20220825 23,2142.046142578125
1_20220826 00,2154.61376953125
1_20220826 01,2018.0711669921875
1_20220826 02,1847.918212890625
1_20220826 03,1712.3546142578125
1_20220826 04,1662.308349609375
1_20220826 05,1834.90478515625
1_20220826 06,1928.1363525390625
1_20220826 07,2167.2314453125
1_20220826 08,2662.193115234375
1_20220826 09,3045.61865234375
1_20220826 10,3642.794189453125
1_20220826 11,3889.3896484375
1_20220826 12,3899.724609375
1_20220826 13,4361.03466796875
1_20220826 14,4195.62109375
1_20220826 15,4198.85302734375
1_20220826 16,4230.81298828125
1_20220826 17,3235.710205078125
1_20220826 18,2679.22998046875
1_20220826 19,2354.395263671875
1_20220826 20,2099.609130859375
1_20220826 21,1998.04833984375
1_20220826 22,1395.978515625
1_20220826 23,2097.122314453125
1_20220827 00,1876.442626953125
1_20220827 01,1798.4390869140625
1_20220827 02,1761.053955078125
1_20220827 03,1623.8931884765625
1_20220827 04,1722.2540283203125
1_20220827 05,1881.818115234375
1_20220827 06,1945.032470703125
1_20220827 07,2073.28759765625
1_20220827 08,2137.542236328125
1_20220827 09,2583.95654296875
1_20220827 10,2884.37939453125
1_20220827 11,3061.41455078125
1_20220827 12,3100.408203125
1_20220827 13,3093.27099609375
1_20220827 14,3121.884521484375
1_20220827 15,3148.205078125
1_20220827 16,3194.7626953125
1_20220827 17,2728.4609375
1_20220827 18,2257.35546875
1_20220827 19,2042.928955078125
1_20220827 20,2045.5765380859375
1_20220827 21,1856.77783203125
1_20220827 22,1456.179931640625
1_20220827 23,2049.04541015625
1_20220828 00,1712.2413330078125
1_20220828 01,1626.2584228515625
1_20220828 02,1366.3814697265625
1_20220828 03,1494.33544921875
1_20220828 04,1440.5870361328125
1_20220828 05,1590.5665283203125
1_20220828 06,1737.1239013671875
1_20220828 07,1535.218017578125
1_20220828 08,1482.59033203125
1_20220828 09,2026.268798828125
1_20220828 10,2505.00146484375
1_20220828 11,2764.301025390625
1_20220828 12,2849.8447265625
1_20220828 13,2879.546875
1_20220828 14,2957.58837890625
1_20220828 15,2993.916015625
1_20220828 16,2922.70556640625
1_20220828 17,3003.33056640625
1_20220828 18,2555.7490234375
1_20220828 19,2298.049560546875
1_20220828 20,2080.13427734375
1_20220828 21,1758.653564453125
1_20220828 22,1304.485595703125
1_20220828 23,1855.5582275390625
1_20220829 00,2164.917724609375
1_20220829 01,2099.308837890625
1_20220829 02,1975.785400390625
1_20220829 03,1872.071533203125
1_20220829 04,1980.949462890625
1_20220829 05,2066.07470703125
1_20220829 06,2295.3154296875
1_20220829 07,2275.300537109375
1_20220829 08,2449.469482421875
1_20220829 09,2920.284912109375
1_20220829 10,3441.355224609375
1_20220829 11,3550.358154296875
1_20220829 12,3548.371826171875
1_20220829 13,3562.25830078125
1_20220829 14,3616.10693359375
1_20220829 15,3659.086669921875
1_20220829 16,3538.943359375
1_20220829 17,2976.9658203125
1_20220829 18,2472.717529296875
1_20220829 19,2082.1435546875
1_20220829 20,2020.4847412109375
1_20220829 21,1728.476318359375
1_20220829 22,1412.5469970703125
1_20220829 23,2041.517333984375
1_20220830 00,2099.157958984375
1_20220830 01,2053.598876953125
1_20220830 02,1846.6893310546875
1_20220830 03,1546.3800048828125
1_20220830 04,1603.0369873046875
1_20220830 05,1765.2601318359375
1_20220830 06,1989.4432373046875
1_20220830 07,2161.64306640625
1_20220830 08,2589.423095703125
1_20220830 09,3129.7158203125
1_20220830 10,3749.951904296875
1_20220830 11,3943.45556640625
1_20220830 12,3855.906005859375
1_20220830 13,3898.731689453125
1_20220830 14,3828.476806640625
1_20220830 15,3846.447021484375
1_20220830 16,3630.639404296875
1_20220830 17,3563.442626953125
1_20220830 18,2667.380126953125
1_20220830 19,2480.9453125
1_20220830 20,2337.761474609375
1_20220830 21,1685.5111083984375
1_20220830 22,1337.7724609375
1_20220830 23,1844.4022216796875
